Model,Confusion Matrix,Classification Accuracy,Classification Precision,Classification Recall,Classification F1,Classification AUC,Regression MAE,Regression RMSE,Regression R²,Regression Adjusted R²
Logistic Regression,"[[97, 13], [21, 47]]",0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
Decision Tree,"[[99, 11], [24, 44]]",0.8033707865168539,0.8,0.6470588235294118,0.7154471544715447,0.8481283422459893,,,,
Random Forest,"[[94, 16], [22, 46]]",0.7865168539325843,0.7419354838709677,0.6764705882352942,0.7076923076923077,0.8151069518716578,,,,
Fare Regression,,,,,,,18.373542111094515,41.29212412518077,0.360916222235088,0.25580375878691175
